year,request,Enacted,actual,% U.S. Discretionary Expenditures,Notes
1959,$29.9,,$477.1,,Inflation adjusted to 2022 dollars
1960,,,$717.3,,
1961,$625.6,,"$1,265.4",,
1962,"$1,388.9",,"$2,162.7",0.22%,
1963,"$3,533.3",,"$2,877.7",0.30%,
1964,"$3,987.3",,"$3,303.5",0.34%,
1965,"$3,590.7",,"$3,198.0",0.34%,
1966,"$3,321.2",,"$3,160.9",0.31%,
1967,"$2,802.9",,"$2,345.3",0.20%,
1968,"$2,468.5",,"$1,600.0",0.13%,"Pioneer moved to ""Physics & Astronomy"" but included here"
1969,"$1,156.9",,$977.7,0.09%,"Pioneer in ""Physics & Astronomy"" account but included here"
1970,"$1,499.7",,"$1,466.0",0.14%,Pioneer returns to planetary account
1971,"$1,401.9",,"$1,463.4",0.14%,
1972,"$2,734.0",,"$2,583.7",0.25%,
1973,"$2,816.5",,"$2,963.8",0.30%,
1974,"$2,704.8",,"$3,235.0",0.33%,
1975,"$1,821.2",,"$1,810.3",0.18%,
1976,"$1,762.8",,"$1,714.9",0.17%,
1977,"$1,156.8",,"$1,186.5",0.11%,
1978,$796.4,,$744.3,0.07%,
1979,$839.9,,$818.8,0.08%,
1980,$892.9,,$891.7,0.08%,
1981,$661.5,,$646.7,0.06%,
1982,$735.7,,$700.5,0.06%,
1983,$496.4,,$579.3,0.05%,
1984,$625.9,,$662.4,0.06%,
1985,$845.5,,$857.3,0.07%,
1986,"$1,027.1",,"$1,011.6",0.08%,
1987,"$1,028.6",,"$1,009.1",0.08%,Supplemental request post-Challenger
1988,$802.1,,$855.3,0.07%,
1989,"$1,151.4",,"$1,049.8",0.09%,
1990,"$1,781.1",,"$1,179.7",0.10%,
1991,"$1,463.7",,"$1,362.5",0.11%,
1992,"$1,706.7",,"$1,298.5",0.11%,
1993,"$1,042.1",,"$1,004.7",0.09%,
1994,"$1,301.4",,"$1,570.8",0.14%,Start of Discovery program
1995,"$1,729.5",,"$1,637.2",0.15%,
1996,"$1,601.8",,"$1,613.4",0.16%,
1997,"$1,314.2",,"$1,292.2",0.12%,Restructured program consolidated Planetary Exploration and Physics and Astronomy accounts. No distinct Planetary request.
1998,,,"$1,314.9",0.13%,
1999,,,"$1,432.1",0.14%,
2000,,,"$1,594.7",0.15%,
2001,,,"$1,964.7",0.18%,
2002,,,"$1,669.4",0.14%,"Reported ""Actuals"" contain DSN since they were reported in the FY2004 PBR."
2003,"$2,363.5",,"$2,470.7",0.16%,First year that DSN costs are included in the solar system exploration division. Program restructuring once again breaks out planetary-related programs.
2004,"$2,993.7",,"$2,963.5",0.18%,NASA moves to full-cost accounting for all projects.
2005,"$2,942.1",,"$2,589.5",0.15%,
2006,"$2,773.0",,"$2,484.5",0.14%,"Solar System Exploration Division created from Mars, Lunar, and Solar System divisions. NASA moves to CJS from VA/HUD appropriations. "
2007,"$2,262.2",,"$1,993.4",0.12%,Full-year CR. Final year of DSN costs in Solar Sytem/Planetary account.
2008,"$1,894.1","$1,907.3","$1,781.3",0.12%,Solar System Exploration renamed to Planetary Science Division. DSN moves to Heliophysics. NEOO moves to Exploration Systems Mission Directorate.
2009,"$1,777.2","$1,879.3","$1,715.7",0.10%,
2010,"$1,768.9","$1,780.2","$1,792.8",0.10%,NEO Observation program moves to PSD
2011,"$1,921.0","$1,921.4","$1,875.9",0.11%,
2012,"$1,970.6","$1,919.0","$1,920.3",0.12%,Pu-238 production restart added to Technology account
2013,"$1,502.3","$1,782.9","$1,534.1",0.10%,
2014,"$1,504.8","$1,662.4","$1,663.3",0.11%,NASA begins funding DOE Pu-238 infrastructure costs
2015,"$1,550.3","$1,741.2","$1,752.0",0.12%,
2016,"$1,629.4","$1,952.3","$1,948.7",0.14%,
2017,"$1,780.0","$2,163.5","$2,141.8",0.15%,
2018,"$2,205.4","$2,546.5","$2,535.1",0.18%,
2019,"$2,505.1","$3,092.3","$3,079.1",0.21%,Planetary Defense and Lunar Discovery & Exploration Program added
2020,"$2,975.2","$2,976.6","$2,975.8",0.17%,
2021,"$2,811.1","$2,853.9","$2,846.7",0.16%,
2022,"$3,200.0","$3,120.0","$3,120.4",0.18%,
2023,"$3,160.2","$3,200.0","$3,200.0",0.19%,
2024,"$3,383.4",,,,
2025,"$3,265.8",,,,
2026,"$3,246.2",,,,
2027,"$3,350.8",,,,
2028,"$3,389.8",,,,
